415nm,445nm,480nm,515nm,555nm,560nm,585nm,590nm,610nm,630nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
25.719,317.488,136.521,99.168,85.783,55.866,24.364,39.419,20.65,18.075,5.7,6.496,8.681,5.656,2.513,2,1.057,3.405,2.675
35.007,317.488,152.111,158.23,193.011,130.805,63.785,68.338,28.026,21.718,5.735,6.53,8.755,7.3,3.105,2.695,1.338,4.38,3.392
62.235,682.951,291.621,472.074,523.602,467.19,206.668,200.829,70.886,51.811,10.931,10.045,10.511,6.197,2.63,2.127,1.097,5.138,3.97
29.828,384.16,170.533,142.802,147.774,151.994,66.604,61.984,25.251,23.18,5.53,6.03,7.443,5.561,2.548,2.142,1.132,3.717,3.008
25.719,317.488,136.521,142.802,157.462,93.774,42.119,54.804,22.229,16.313,4.333,5.095,5.853,4.546,2.069,1.766,0.945,3.046,2.45
29.828,348.444,136.521,142.802,157.462,237.96,119.703,64,35.958,18.951,8.045,6.722,8.356,6.387,2.947,2.546,1.313,4.54,3.655
19.691,245.862,101.826,84.499,99.488,99.474,45.335,34.051,15.876,11.871,3.335,3.471,4.369,3.726,1.778,1.558,0.833,2.453,1.971
35.007,290.48,123.21,107.979,116.76,99.383,45.95,53.204,25.167,21.442,6.267,6.434,9.225,6.407,2.759,2.228,1.123,4.291,3.271
17.443,245.862,101.826,99.168,123.527,237.96,107.634,42.593,19.081,10.821,3.921,3.862,5.119,3.648,1.705,1.523,0.824,3.243,2.653
25.719,290.48,123.21,118.019,130.901,145.56,70.289,51.673,24.835,15.782,5.326,4.889,6.648,4.45,2.113,1.851,1.037,3.647,3.008
15.559,196,78.854,63.468,71.513,56.984,27.115,25.616,12.817,9.025,3.86,4.098,5.103,3.963,1.877,1.685,0.872,2.794,2.124
19.691,266.778,101.826,84.499,85.783,109.052,52.098,33.263,14.513,11.871,4.221,3.452,5.885,3.544,1.656,1.403,0.757,3.178,2.528
19.691,290.48,78.854,59.439,68.502,315.275,169.053,33.263,66.998,10.92,10.237,9.592,10.597,7.3,3.354,2.922,1.579,7.009,5.294
29.828,348.444,136.521,118.019,130.901,156.528,74.828,53.204,27.541,18.726,5.729,6.21,7.511,6.067,2.751,2.351,1.207,3.748,2.932
25.719,317.488,136.521,129.526,138.954,186.186,90.525,48.803,27.953,15.114,5.653,5.925,7.716,5.4,2.434,2.129,1.135,4.109,3.256
25.719,290.48,123.21,129.526,157.462,202.693,99.041,54.804,30.827,14.641,4.928,6.383,6.663,5.659,2.633,2.414,1.342,4.017,3.184
29.828,348.444,136.521,129.526,147.774,137.006,70.165,60.063,24.49,18.505,5.566,5.782,7.486,5.419,2.565,2.284,1.245,4.006,3.227
35.007,384.16,170.533,158.23,179.93,195.785,95.124,73.132,41.493,21.999,7.122,7.312,8.665,6.152,2.751,2.355,1.232,4.962,3.874
53.778,970.814,199.123,164.084,154.783,168.762,80.709,43.625,23.139,12.495,5.436,5.618,7.503,8.298,6.53,6.481,5.137,12.541,12.439
84.028,1557.618,329.163,321.604,447.322,389.336,175.437,98.157,63.904,21.475,7.759,10.374,9.148,11.567,8.502,8.408,6.574,15.279,14.885
41.869,794.703,146.295,115.778,130.701,147.027,57.379,34.564,19.682,10.459,4.002,5.924,5.762,7.86,5.718,5.547,4.076,8.236,8.044
61.735,1081.679,223.239,180.902,174.735,67.829,30.4,50.884,25.221,15.668,4.661,7.054,6.24,8.2,5.774,5.217,3.847,7.325,7.3
71.598,794.703,178.715,125.627,106.442,103.386,49.324,50.884,34.977,21.74,9.588,10.559,12.79,14.119,9.984,8.74,6.204,13.579,13.439
47.266,724.099,146.295,99.261,101.434,109.778,52.626,33.817,29.868,12.495,6.509,7.879,7.83,10.105,7.493,6.963,5.094,9.311,9.51
47.266,724.099,133.298,80.401,71.572,52.64,27.661,28.622,24.891,12.266,6.096,7.549,7.443,8.784,6.359,5.855,4.39,8.145,8.391
47.266,794.703,146.295,99.261,92.422,97.949,50.399,31.715,32.34,11.72,6.351,8.965,8.771,11.01,7.966,7.437,5.557,9.202,9.155
71.598,1081.679,252.016,200.446,212.757,259.669,104.199,56.779,50.712,17.631,8.313,12.083,10.382,12.969,8.936,8.119,5.847,12.23,12.195
53.778,970.814,199.123,180.902,198.81,207.031,92.889,53.711,23.678,13.098,5.042,5.667,6.674,8.295,6.442,6.544,5.195,8.666,9.031
71.598,1369,286.738,250.384,310.641,363.467,153.535,76.922,42.163,18.437,7.345,9.312,9.346,12.207,9.07,8.91,6.794,13.418,13.551
53.778,876.16,178.715,149.506,164.306,269.738,124.593,49.554,45.272,13.351,6.814,8.274,7.701,9.421,7.076,6.936,5.504,10.61,10.512
71.598,1212.678,223.239,180.902,186.19,195.113,87.335,60.119,48.314,19.753,8.784,10.908,10.032,11.36,8.167,7.597,5.688,9.593,9.712
53.778,1081.679,199.123,180.902,164.306,179.162,75.576,44.723,39.302,13.744,6.243,9.973,8.056,12.144,8.608,7.928,5.744,10.769,10.868
53.778,876.16,178.715,136.788,138.063,161.979,64.799,38.7,30.959,12.612,4.715,8.094,7.059,9.364,6.436,6.035,4.47,11.851,11.681
61.735,876.16,199.123,180.902,186.19,183.313,73.56,50.884,39.364,15.668,5.664,11.078,7.942,13.819,9.74,9.057,6.595,9.329,9.477
84.028,1212.678,252.016,223.336,286.286,174.825,79.364,76.922,37.003,19.524,7.043,9.153,9.85,12.212,8.936,8.574,6.392,13.809,13.551
61.735,1081.679,223.239,200.446,228.226,276.133,116.516,58.413,32.363,16.17,7.088,7.942,8.985,9.898,7.191,6.864,5.142,12.203,12.243
47.266,970.814,178.715,136.788,130.701,100.541,52.896,40.565,45.771,12.38,7,10.287,8.458,10.434,7.331,6.789,5.283,10.283,10.589
61.735,794.703,161.29,107.043,88.36,68.79,31.519,37.815,27.613,16.517,6.922,8.768,10.395,11.652,7.945,7.018,4.915,11.242,10.707
41.869,876.16,161.29,107.043,96.771,79.628,37.686,29.803,25.735,10.639,6.449,7.861,8.299,10.658,7.872,7.34,5.43,9.165,7.552
84.028,1788.082,381.751,321.604,369.688,344.59,141.354,105.852,72.791,30.774,10.39,14.405,11.634,14.993,10.089,8.843,6.236,13.842,13.665
53.778,1081.679,199.123,164.084,164.306,131.774,62.186,50.884,33.113,14.733,5.728,8.815,7.132,10.178,7.276,6.8,4.974,9.404,9.378
53.778,970.814,199.123,164.084,186.19,152.616,77.462,45.862,39.863,13.223,7.124,8.226,9.026,8.935,6.415,5.855,4.625,12.093,12.589
53.778,1081.679,199.123,164.084,164.306,151.95,64.191,45.862,34.566,13.611,4.944,7.347,7.112,7.881,5.642,5.303,4.107,9.385,9.313
61.735,1081.679,223.239,200.446,228.226,221.705,98.452,53.711,31.197,13.48,5.947,7.244,8.129,8.907,6.558,6.572,5.204,12.803,12.39
33.518,662.503,112.007,70.665,68.792,40.259,19.01,22.416,18.063,8.953,3.953,5.983,5.41,7.039,5.008,4.611,3.427,5.319,5.42
61.735,1081.679,199.123,136.788,130.701,210.237,88.171,50.884,30.873,19.078,7.571,8.7,10.105,10.649,7.6,6.94,5.047,11.825,11.772
61.735,1081.679,223.239,180.902,245.444,258.778,109.739,60.119,31.683,16.17,6.059,7.425,8.312,9.99,7.291,6.971,5.278,12.953,12.846
71.598,1212.678,252.016,282.66,447.322,161.542,72.485,85.085,37.087,16.877,6.486,8.773,9.109,11.851,8.82,8.454,6.472,13.075,13.004
37.346,724.099,146.295,136.788,146.064,219.843,92.122,33.817,28.487,9.168,5.036,6.474,6.735,7.973,5.927,5.829,4.533,9.165,9.444
84.028,1369,329.163,321.604,405.735,359.576,152.94,98.157,52.048,21.216,7.178,9.33,8.79,11.851,8.682,8.527,6.54,13.644,13.608
84.028,1212.678,286.738,250.384,338.24,121.008,65.415,88.096,37.833,20.961,6.885,8.789,8.878,12.23,9.367,9.374,7.117,15.795,15.015
53.778,970.814,199.123,164.084,174.735,137.302,64.473,47.046,31.439,13.48,5.253,7.295,6.775,9.762,7.258,7.018,5.364,9.517,9.886
41.869,724.099,146.295,107.043,106.442,124.971,59.047,33.093,20.206,10.824,5.043,6.3,6.712,8.15,6.195,6.038,4.621,8.267,8.446
71.598,1081.679,223.239,164.084,164.306,142.462,62.882,53.711,35.055,18.86,7.313,10.031,9.554,11.546,8.032,7.184,5.146,11.592,11.547
61.735,970.814,199.123,164.084,174.735,198.244,100.314,53.711,42.06,16,7.305,9.662,8.636,10.63,7.623,7.365,5.589,11.617,11.681
71.598,1081.679,252.016,200.446,245.444,258.488,122.02,67.746,48.823,18.027,7.917,10.974,10.259,13.051,9.206,8.805,6.425,15.714,15.015
53.778,876.16,178.715,149.506,154.783,133.943,57.996,44.723,30.218,14.155,5.259,8.933,7.476,11.193,7.916,7.493,5.462,9.671,9.444
47.266,724.099,133.298,92.297,88.36,52.076,24.961,32.393,27.2,12.852,5.052,8.015,7.027,9.669,6.847,6.047,4.36,7.838,7.917
53.778,970.814,178.715,164.084,174.735,128.306,54.028,44.723,21.642,13.098,4.756,5.983,6.425,7.744,5.684,5.439,4.114,8.471,8.702
53.778,876.16,178.715,149.506,146.064,128.1,56.305,42.568,24.146,15.19,7.032,8.145,9.33,9.71,7.096,6.426,4.806,11.365,11.415
71.598,1212.678,252.016,223.336,286.286,268.176,98.452,58.413,31.907,16.17,5.403,8.361,7.634,10.696,7.523,7.12,5.156,11.904,11.636
47.266,724.099,146.295,86.042,66.172,50.489,25.247,29.204,24.675,12.731,6.004,8.327,8.411,10.752,7.728,7.184,5.303,9.094,9.218
